,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
4881,Dog,9,Mixed Breed,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,200,Urgent !! Kara is friendly and easy to handle.. She's fantastic with children as she's an active pup but won't play rough.. She escaped fr being captured by mbsa.. Pls give her a home..if she doesn't get a hone she will be send to shelther Contact ( Ivan ) location : Kota kemuning,3,4
3424,Dog,48,Mixed Breed,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,"Desperately need to find a home for Peaches, we are force to move to an apartment and cannot bring her. Peaches is playful and friendly good with children. She doesn't bite at all not even shoes. Do help find a place in your heart to adopt her.",1,4
8462,Dog,36,German Shepherd Dog,Female,Black,No Color,Large,Medium,Not Sure,No,Healthy,0,"Due to dad's health condition, we have to give Lucky away for adoption, request adopter to neuter her. Lucky is a playful, tame & obedient girl. We have given away 6 months ago but took back because of the irresponsible adopter. She is well now & gain back her weight.",3,1
8003,Cat,24,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,"Miki was adopted from SPCA Ampang when he was about 3 months old. He is a very cudly and lovely cat. He loves to rest on people's lap and always want to cuddle. Whenever i came back from work, he will greet me at the door and always sit on my lap while im reading or watching tv. Now due to medical conditions, i can no longer keep miki. I hv developped severe allergies to dust and cat. I will sneeze and have a watery eyes and itchy throat. Help me find a good home for my dear miki.. He is one lovely companion.",8,2
9759,Cat,2,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,50,"2/5/ A Cute Tabby kitten looking for new home. She is Tabby Girl 1, age about 2 months old. She has short, thick fur with remarkable stripes. She has unique marks on her abdomen too. She has an innocent-looking face with beautiful dark blue eyes. She has her flea treatment done and was de-wormed on 28th April. She is feeding on wet food (canned fish) & might be fed by kibbles in about 2 weeks time. She is healthy, very active & playful. She needs company & cuddle most of the time. She loves to play hide & seek with her sister, Tabby Girl 2. She is under toilet training now & ready to go soon. *RM 50 administration fee would be paid to Cat Charity Club (CCC) for rescuing stray cats. *Another RM neutering / spaying deposit would be fully refundable once the surgery done. Anyone interested, please call .",7,3
9971,Cat,1,Tabby,Female,Gray,No Color,Medium,Short,No,No,Healthy,0,Sweet little kitten left all alone in my backyard. Litter trained.,5,2
2617,Cat,2,Domestic Short Hair,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,"There were 3 stray kittens are about 2 months old. Only 1 ginger coloured kitten left, most probably male. Healthy and active :-D It would be great if the kitten is given a forever home. It'll definitely be someone's sweetheart :-D",4,1
9472,Dog,60,Basset Hound,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,300,"Betty is a lovely dog, sweet and gentle. She has all the typical qualities of a hound, excels at howling, great nose and loyalty to her human. This dog must be allowed inside of doors. Cannot be caged or tied up. Please contact KL Pooch Rescue to make an appointment to meet Betty. Send a whatsapp to",3,2
5710,Dog,4,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,80,Found him u der the hot sun when he was about a month old. Mummy and siblings we nowhere in sight. Was in healthy condition. Fat puppy.,4,3
1128,Cat,24,Domestic Medium Hair,Female,Cream,Gray,Medium,Medium,Yes,Yes,Healthy,0,"She is a loving cat, come to think of it she might die in the wild because there is no one to live her. Haha. Please contact me ASAP. Thanks",3,4
8231,Dog,67,Poodle,Female,Brown,No Color,Small,Medium,Yes,Yes,Healthy,300,"Siobhan is a very good dog but i have to leave Malaysia and i have no other option about her. If you are looking for a playful dog she is not the right one. she is very quiet and obedient. she is toilet trained but you have to take her for walking 2 times a day. she never bark and you can keep her in condo. she trained a bit like come, sit, hand, come back, up and... she is an indoor dog for sure. she needs you behave very nice. she never listen to you if talk loudly to her. she is very emotional. if you are really a dog lover and you have enough time for her call me. adoption fee is for me to be sure she find a good home. and i will give all of her stuff (vitamin, ear cleaner, tear stain cleaner, food, comb and etc) for free. feel free to call me but please no sms",1,3
9546,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Medium,No,No,Healthy,0,Please save this puppy. He is living in a dangerous situation at a company. Need to find a perfect home and owner as soon as possible.,5,2
4542,Cat,5,Oriental Short Hair,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,0,Playful well behaved litter trained soft meow loves cuddles and will give his lucky owner kisses!,2,3
1459,Cat,39,Persian,Female,Gray,White,Large,Long,Not Sure,Not Sure,Healthy,0,Kucing manja tp tgh mengandung. Perjiranan x suka kucing. Nak elak dpd perjiranan buang bagus diberk tempat pelindungan. X sanggup tgk dia kena buang.,2,4
3616,Cat,4,Domestic Medium Hair,Male,Gray,No Color,Medium,Medium,No,No,Healthy,0,Super manja persian cat mixed domestic short hair cat. Super manja and hansome boy!,5,2
3538,Cat,6,Domestic Short Hair,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,160,Cleo is very loving and Handsome Petite and cute,3,4
4730,Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,Not Sure,No,Healthy,0,Location: IIUM / UIA Gombak Contact no:,2,2
7425,Dog,1,American Water Spaniel,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,"Hey this snowy sister , i wanted to keep her but i already have 3 and my neighbor making a fuss of it . she is beautiful and loving msg here and i shall get back to you",4,4
8526,Dog,2,Mixed Breed,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,For Adoption,3,2
3797,Dog,9,Poodle,Male,Black,White,Small,Medium,Yes,No,Healthy,10,The dog has completed all vaccinations. Healthy but not toilet trained. We are looking for serious owners and will not charge an fee. Pick up by the owner.,1,4
10474,Cat,12,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,I'm moving out from my sister's hse and renting a room outside so can't bring along my cat.,6,3
80,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,Female-3mths+ healthy and playful. she can eat dry food and rice. need to find an animal lover to give her a sweet home.,2,3
6264,Dog,9,Jack Russell Terrier,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,"Extremely playful & adorable. loves running around, loves eating, gets along with other dogs well. She has been spayed & fully vaccinated. Adopter has to reimburse the medical cost incurred in order to help other homeless dogs. Preferably keeping Jingle as an indoor pet.",7,2
11219,Dog,5,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,"Princess is the last survivor of 5-6 puppies dumped by an irresponsible person behind a restaurant close to my residence when about 1 month old and left to scavenge from the drain. There were only 2 remaining when I tried to get them adopted through Petfinder but failed for months as they were highly afraid of humans and fled into an opening whenever I tried to get closer, probably due to the constant abuse, threats and beatings from the restaurant workers. I could always hear them crying out in pain/fear from my home. Sadly I believe her brother was bludgeoned to death. There was nothing I could do until one day during a heavy downpour which flooded her place of refuge, I found her at my doorstep. We have been fostering her and can finally post her up for adoption after 2 weeks of getting her to trust and adapt to humans. She is still cautious and slightly fearful but we managed to give her a bath and continue building her confidence. Hope to find her a good home soon so she can be loved and cared for. She's smart and cheerful too and I'm sure you will enjoy having her as part of your family. Update (9th-July-15): ============= We got her vaccinated, dewormed & neutered so she has a better chance of being adopted. She has since adapted well with humans and loves attention. Please share her profile with your friends Thanks :)",5,3
7140,Dog,18,Husky,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,"Lucky's owner is an old uncle who can no longer care for him due to health and family concerns. Lucky is a beautiful mixed husky (mum) and a mixed breed rottweiler (dad). Both Lucky's doggy parents are deceased according to his owner. Lucky is very friendly and goofy, he is also very adorable and very healthy, strong and handsome. My toy poodle Jony has a big crush on him! Please adopt him and give him a good home if not the uncle would send him to some a farm in Kelantan his friend's place to guard against wild boars. I persuaded the uncle to give Lucky a chance to be re-homed to loving owners. Lucky is very sweet and a family dog that needs love and not to be let free in some hill farm in Kelantan. Please be kind and adopt him. We are in Penang, so please contact me if you want to be Lucky's new parents. Thank you!",4,4
708,Cat,1,Domestic Medium Hair,Female,Gray,White,Medium,Medium,No,No,Healthy,0,"Godzi was rescued from my roof...she had fallen into the downspout and got stuck. We lowered a broomstick, at the end of which attached a hanger; she clung on to the hanger and we managed to pull her out. She's a smart cookie too.",3,1
10422,Cat,2,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,Looking for a home for Tom Tom. Please whatsapp,4,1
5064,Cat,18,Persian,Male,Brown,Cream,Large,Long,Yes,No,Healthy,500,This lovely cat belong to my friend. She ask me to sell her cats because she's going for overseas for years to further her studies. Nobody going to take care of him. Koko is not quite friendly at the beginning. Take time to get along. He prefer to stay in the cage in the presence of stranger. On feed with Blackwood.,3,2
10375,Cat,14,Domestic Medium Hair,Female,Yellow,Cream,Medium,Medium,Yes,No,Healthy,0,"Kuchik is so cute, polite and lovely. We found Kuchik around 1 year ago when she was very small, lost her mother. She has lived with us in our apartment until now. As long as we are going to leave the country, we have to find a new home for her. She did not have any symptom of any problem, major or minor. She is naturally playful and quite, doesn't annoy, just plays silently with herself and the toys she can find around. Only when she is hungry or kept in his room for long time, starts nagging and calling for attention. For more information please call me.",5,4
9485,Cat,1,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,Rescued on /. Female-1 1/2 mths+. She can eat dry food and wet food. Healthy and active. tabby cat with long tail. prefer married couple but still allow for suitable adopter. open for Malaysia citizen only. Hope an animal lover can give her a sweet home. Adopted by MsYang from Pantai Hillpark KL on / at am,3,1
2821,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,playful. loving. loves to play. finding a good owner who could love her.,1,4
4888,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,Dog 4 Adoption,5,4
10205,Cat,1,Domestic Short Hair,Male,Brown,Gray,Small,Short,No,No,Healthy,0,"It happened that I found this cat hidden on car tyre, worrying that it might get hurt/hit when the car owner moved the car, so I rescued him out from the car tyre. So far he is quiet guess he feels scared arriving at new place, but likes to explore and roaming around after a while and trying to adapt to new environment, and he likes to be petting! As I have 3 adult cats therefore I have to keep him in cage after feeding him. However, due to some family reason, my family and I have no time to foster/take care of kitten at the moment, hope that someone is kind to offer him a sweet home.",3,2
8187,Dog,48,Golden Retriever,Female,Golden,No Color,Large,Long,Yes,No,Healthy,0,"Please if anyone love her n give her a warmth family. I wish new owner adopt her not for breeding purposes, if interested pls call me within 1pm-7pm.....Thanks.",0,1
8314,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,20,The lil' puppy is currently taking shelter at SPCA Seberang Perai. Those interested to adopt her may contact us via email.,1,2
7097,Dog,7,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,"Found Sam wandering and starving with blitzers on his little paws looking for his mOm and Dad. He needed worming, and treatment for loosing hair on back. The vet has cleared him now to be given away. My landlord is pressuring me . Sam is very gentle and obedient. He house broke himself and will hold it and not go in the house. He even plays so sweetly with the kittens I rescue. He loves other dogs and is very playful. He would be a good pet for children. Everyone says he is a beautiful puppy. Please call Trish Segamat Bahru",1,4
2462,Cat,4,Domestic Short Hair,Female,White,No Color,Small,Short,No,Yes,Healthy,0,"Am odd eyes female white fur kitty ready for adoption,she playful and wander around my car park lot at my apartment,taman Sri sinar,please help to give her a new home.",3,3
4637,Cat,2,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,20,"Hye, i found this kitten near around my neighbourhood shophouses wondering around lost.Got kurap at ear but then i bring to vet and now the kurap almost gone 90%. Very2 healthy and playful.Toilet trained,eat on wet and dry food and independent. Anyone interested to adopt just give me a call since i have 2 more really2 small kitten to take care.",3,4
7817,Cat,7,Tuxedo,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,150,"Joey is an adorable rescue kitten looking for the perfect family. My friend found her roaming the side of the highway and rescued her when she's just 1 1/2 months old. She has been with me for 6 months and due to my busy schedule, I am forced to let her go. She's currently an indoor kitten. I would prefer her to be kept indoors/no caging. Joey has grown up without her mother and siblings so she can be quite needy. Sometimes, she's also quite a picky eater. I hope this does not stop you from considering her. She can be very manja and cuddly when she's about to sleep. If you wish to adopt her, please contact me. I also have these stuff to give out or sell to you if you need it: Cat Litter Box Cat Litter Cat Carrier Cat Shampoo Flea Medicine Cat House Cat Tree Cat Toys > 15 cans of Wet Food 2 packs of Dry Food Cat Snacks Double Storey Cage (This is just to prevent her from running around when I'm moping the floor. Strictly no caging while owner is away.)",8,2
3289,Cat,24,Domestic Long Hair,Male,Black,Brown,Large,Long,Not Sure,No,Healthy,50,"Fluffy and his family was abandon my their owner friend's during their boarding stay. The person responsible is missing in action, and they really need new loving family. I prefer new owner to neuter him. He's very well mannered and well behaved. Very gentle guy and friendly. Loves stroking, hugs and kisses.",4,1
1021,Cat,12,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,LOOKING FOR A FOREVER HOME FOR HIM,1,4
1103,Cat,3,Bengal,Male,Golden,Yellow,Medium,Short,No,No,Healthy,0,"A very friendly, playful and ""petit"" kitten. Kyle is one male from a litter of 6. We are running out of space so all 6 have to be adopted and loved by you. The breed is Bengal (25%) + American Short Hair (25%) + DSH (50%) Colour is orange + Golden + light brown (lines) Best characteristics: He is so playful and would not mind being held and pet. He is the smallest in his litter, but also the most active. He has long and slightly crooked tail at the end. which makes it look like ""mata kail"" or ""fish hook"". Hence the name Kyle (Kail). :) Feeds on ProDiet kitten dry food + occasional ProDiet wet food + Goat's milk. Please check out my other kittens of the same litter.(Amy, sofi, Sherhan, Mika, Bino, Kyle) All have been kept indoors (free roaming) and have never been in contact with grass or other cats. SMS/Whatsapp ONLY.",3,1
6290,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,50,"Monica is 1 of 6 siblings who were abandoned at a construction site in PJ. She is gentle, and gets along well with other dogs and humans. Has had 1st vaccination and was de-wormed. Serious adopters will have to pay an adoption / rescue fee of RM50 and be willing to update me on her once a month for the first six months. Feel free to contact for questions. And click on my profile to check out Monica’s other siblings!",2,2
2895,Dog,9,Retriever,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,This dog born on 12 April . She is very good guide dog and she loves to have evening walk. I hope the adoptor can help to adopt her. She stays at Seremban now.,3,4
9126,Cat,4,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,"Found this cats among other stray cats in my apartment area. He's so manja, the body so lembik and likes to be carried. I think he is potential to find a new owner here. He'll definitely be loved. Unfortunately I don't have enough space in my apartment to bring another cat. Apart of what I already have now : ( Please sms me.",3,4
9017,Cat,18,Domestic Short Hair,Male,Gray,White,Medium,Short,No,Yes,Healthy,0,"This is AJ. He is a very handsome, warm and loving cat but needs some time to get used to people. He loves to play on his own and lull around favorite spots at home. I am looking for someone to take care of AJ because I have too many right now to foster. He is already neutered and easy going. He can easily adapt to living in a house or a large apartment. He can get along well with other cats. He eats dry food and toilet trained. Please call me or e-mail should you want to adopt him.",1,1
2776,Cat,4,Tabby,Female,Yellow,White,Medium,Short,Yes,Not Sure,Healthy,0,Sweet manja pretty kitty. Toilet trained. Eats kibbles.,2,3
5170,Cat,1,Domestic Short Hair,Female,Golden,Cream,Medium,Medium,No,No,Healthy,60,"Hi , my name is Little J . I was wondering aimlessly alone looking for food when a human found me and took me in . Now , I need a permanent home that I can get unconditional love and care because I'm technically a baby who needs lots of love and milk hehehe .. But I promise to love my future owner unconditionally . If you want me to be your purr - friend then please text this number asap :",3,4
10118,Cat,2,Siamese,Female,Brown,White,Small,Medium,No,No,Healthy,0,I decided to give away my two cat since I already have 10 cats in my house. Furthermore I'm getting married this October and will move out from my parent's house. I hope there's someone out there willingly to take both of them with full of love and care. Please help. Thanks.,5,1
5570,Cat,4,Domestic Short Hair,Male,Golden,White,Medium,Short,No,No,Healthy,0,Ginger Boy was found starving and hungry so I started feeding him. I then realized that he's super-friendly and very affectionate. Responds when he's called. He's a young and lively kitten and would definitely make a very good indoor pet. I hope that genuine adopters can give him a comfy home so that he's off the dangerous streets.,2,3
2959,Dog,1,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,Lovely puppy looking for a home sweet home. If u are interested to adopt pls contact Amy,2,3
1698,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,Kindly contact us if interested in adopting this baby.,1,4
6292,Dog,1,Labrador Retriever,Female,White,No Color,Medium,Short,Not Sure,No,Healthy,0,"Beautiful and intelligent puppy looking for a forever home. Understand the simple command like ""sit"". Commitment to spay is compulsory. If you are interested to adopt pls contact Amy",5,3
1831,Dog,4,Mixed Breed,Male,Golden,No Color,Medium,Short,Yes,No,Healthy,0,"I found this pup at a koptiam near my house in klang and it has a patched back (caused possibly by scalding water or oil) but has healed completely according to the vet. Little Tiger is extremely intelligent and obedient and after being with us just a couple of days is already responding to commands and is very playful but well behave as well. He also mingles well with my other dogs so if you already have a pet, he most probably could blend well with the rest. He's not a picky eater and finish his share most of the time.",5,2
4612,Cat,5,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,She came over from dont know where. came for a meal one day and never return back. im not keeping her. pls take her someone.,2,3
4870,Cat,1,Domestic Short Hair,Female,Black,Cream,Medium,Medium,Yes,No,Minor Injury,0,"We found her when she was almost on the verge of death, with her lower jaw fractured in 2 places. We had her undergo a surgery, and now she is on the road to recovery. She has been vaccinated, and all her surgery costs paid for. As she grows into a beautiful cat, her jaw will heal back to normal, and according to the vet, she will be able to eat normally. As of now, no medication is needed anymore, just letting healing takes place. As she recovers, she needs your TLC. And she is no different from any other cute kitten. Very gentle and sweet in nature, all she needs is your TLC. Please kindly consider to adopt her, or please foster her until a suitable adopter comes along. My family and I will not be able to foster her any longer due to certain issues, please bring her with you as we do not want to surrender her to a shelter.",4,2
2202,Cat,1,Oriental Tabby,Female,Black,White,Small,Short,No,No,Healthy,0,"So, some twat had decided to dump a couple-days-old kitten in front of my house, in a plastic bag. I only found the little thing because of it constant meewing. Unfortunately, I can't keep it for too long, so I'm looking for interested parties who are willing to adopt him/her. If you can't adopt it, that's fine. All I ask is for you to pass this message around to your friends and contacts to see if any of them would be willing to adopt it. If interested, just send me a PM",1,4
6577,Cat,1,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,No,No,Healthy,0,"For a serious adopter whoever interested to adopt this cutie pie would come with a bottle of goat milk, is starting knowing how to eat can food, if do able to give this cutie a second chance of life, please do sms me or directly contact with me for more details, thanks!",5,2
5120,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,"Anyone interested in adopting this Puppy? I found Him near my housing area.Need a better owner & home for Him. He is affectionate and healthy, and would make His new owner very happy. If interested please contact (Rishen) SHARE OUT FOR BETTER OWNER & HOME FOR HIM.",5,0
3084,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,Dog 4 Adoption,1,3
3524,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,Milo was rescued from the streets and were living in a local animal shelter. Milo is around 2 months old male pup and is very calm and like to sleep like how puppies normally do. He become very active once he has taken his meal.,4,1
8096,Cat,48,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,"Looking for a loving home for a Domestic Shorthair. He is loving, playful and active. He was rescued from the street when he was a kitten. All supplies i.e. food, litter, litter box, toys will be given.",5,2
6865,Cat,3,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,Found it at Cheras Perdana. Please call Kelly for more info.,1,4
7890,Dog,24,Golden Retriever,Male,Yellow,No Color,Large,Long,Yes,No,Healthy,100,"rocky is a very active dog who loves lots of attention. very friendly. good with kids. can only be adopted by a real animal lover and he must the only dog at home, unless the other dog is a female. he is very territorial though not a very good watch dog, which is normal trait of golden retriever.",1,1
11297,Dog,24,Bull Terrier,Female,Black,Cream,Medium,Medium,Yes,Yes,Healthy,50,"Her name is White She was dumped by her owner at market, she was punish by the business man at that market. Urgently need home for her cause neighborhood their already reported to council. Very tame and obedient",2,2
9444,Dog,2,Mixed Breed,Female,White,No Color,Small,Medium,No,No,Healthy,0,Rescued by Ms Rebecca on 4/4/18. Female-2 1/2mths+. Adopter need to vaccine+deworm her after adoption. Open for Malaysian citizen only. Kindly whatsapp or SMS to me at if u are interested to adopt. 🙏Adopted by Nanteni Liew from KL on 8/4/18,2,1
155,Dog,60,Golden Retriever,Male,Brown,Yellow,Medium,Medium,Yes,Yes,Healthy,0,"Hi, A beautiful, fun, loving, clever and handsome boy up for adoption. Boy has a beautiful coat and googly eyes. Meet Bidi Budu Bubu Boy. He was rescued on May 14th from the dog catcher. The rescuer took him back from the pound less than 4 hours he was sent there. He was destined for a forever home. Unfortunately, the adopters don't want him anymore and due to his nature of lovingness, he can't be left at the road side. Nobody will ever know the boy's history but am sure he went through some bad times in order for him to be caught by the dog catches. The Bidi Budu Bubu Boy is well-behaved, doesn't bark unnecessarily, doesn't mess up the garden, bite shoes or any of that sorts. So, whatever may be, you will end up with a loving darling of a boy. Please provide a loving home for him as he will make you a very happy person. Ps. Would prefer people who allow us visitation rights as we want to ensure the puppies are taken care off. Pss. Spaying & vaccination all will be done by this week. Boy is adoptable in 3 weeks.",5,3
3325,Cat,1,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,Not Sure,Yes,Healthy,0,Brownie is part of 4 kittens that was brought to my condo by the mother. Managed to find a home for his brother and he's one of 3 kittens left. He's very cute and healthy. Very active as well.,5,2
6080,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,No,Not Sure,Healthy,0,"Her name is Rio and she's only a puppy. She has a sister too, Shiloh. Rio is super playful. Very adorable and well, like all of us, she relaxes once she's tired. She's toilet trained whereby she does her business only on newspapers. She's a very loving puppy and I hope she finds a good home.",2,1
3341,Cat,3,Domestic Short Hair,Female,Yellow,Gray,Large,Short,Yes,Yes,Healthy,100,Heidi is a big girl. Good appetite and not fussy. Very friendly and always purring. She will be spayed before adoption,2,4
4726,Cat,2,Siamese,Female,White,No Color,Small,Short,Not Sure,Not Sure,Healthy,50,"a healthy cat,look like Siamese,very cute.i have had a cat already so can keep this one any more . so anyone kind heart can adopt it please contact me at and i will give a cage for free",5,1
140,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,Coffee is one of four puppies still up for adoption. She's one of the most playful,1,2
11477,Dog,48,Rottweiler,Female,Black,Brown,Large,Short,Yes,Yes,Healthy,0,"Gilda was rescued on the street in Sungai Besar. She has been sent to the vet for treatment and blood test. As of 19 November , she weighed at 27 kg and in healthy condition. She is friendly and would be great for family with children and elderly parents as she is extremely patient. She understand simple command such as ""hand"" and able to go in and out of car independently. She doesn't bark unnecessarily. Our main adoption conditions are : a) Adopter must be a Malaysian or PR. b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Adopter must provide basic preventive dog care vaccinations, deworming, flea/tick/heartworm prevention etc.) e) Walk her regularly with plenty of exercise f) Adopter must be financially willing to provide her with premium dog diet and strictly not left over human food or food scraps. This is important to maintain her good coat condition. g) Provide us with progress update and photos. h) Add us on facebook and allow house visitation if required i) Adoption, once approved is for the adopter only and strictly non-transferrable. If you wish to surrender Gilda, please seek our permission as the dog's well-being is our utmost priority Adoption Fee : Freewill as donation will be used to help the next needy furkid.",1,2
2692,Dog,8,Beagle,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,"Patrick is very affectionate and a playful boy. He is sweet, alert and friendly. He is a very good natured dog and will be great to find a responsible owner who will care for him, and give him a forever home. He was abandoned by his owner the moment he grew bigger. Owner dumped him in Ara Damansara Industrial Area. We are looking for an adopter/fosterer, no caging or tying up for long hours. If you can give Patrick a forever home please call me. Tony",3,4
4719,Dog,24,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,She was abandoned by her previous owner who kept her as a guard dog to take care of his factory.The factory was sold and the new owner found her with a few puppies there. All her puppies were successfully re-homed. Now is her turn to get a good home. She is human-friendly and has no problem getting along with other dogs. No caging or tying for long hour except for precautionary purposes. Serious adopter pls call or sms me.,5,2
5006,Cat,5,Domestic Short Hair,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,"Found Chief 3 weeks ago with very bad flu n eye infection. He lost one of his eyes due to eye infections. Took him to vet n after 1 week of treatment, Chief is fully cure and healthy. Chief is a very playful n independent kitten, full of life n able to occupy himself with toys and ball. He is such a adorable beautiful kitten looking for a good home",5,4
10072,Dog,48,Terrier,Female,Cream,No Color,Medium,Long,Yes,Yes,Healthy,0,"Yo is such an obedient n a beautiful girl.. she gets along very well with kids n very manja too ... she loves to be cuddle n loves her walks ... reason she has to be given away ,her current mommy was given a notice by MPSJ to send her dogs away within 7days (eff frm 08 Oct'09), its so difficult for Yo's mommy as she loves her dogs way too much, Yo's mommy couldn't sleep well n couldn't eat well ... she only wants n hope tht Yo can be adopted by a loving family tht can provide her Tender, Loving n Care ... Adopters out there , pls gv me a ring if u r interested as time is running out ... thanks !!!",3,3
4848,Dog,6,Mixed Breed,Female,Brown,Yellow,Medium,Medium,Yes,No,Healthy,0,"Free For Adoption ( Malaysia, PJ, KL, Selangor) Please call or SMS if you interested , please do share and spreading out the words, Thanks. Name: Lucky Gender : Female , 6 months Medical Checked Out, good health & Beautiful. Done 1st Vaccine. ready for adoption now. Interested please feel free tingle or SMS Michelle Via iMessage , Whatsapp, Viber, Line, Wechat Or + Grace + Lynn Via Whatsapp",3,4
5330,Dog,3,Miniature Pinscher,Female,Black,Brown,Small,Short,No,No,Healthy,100,"We have two really cute and active Mini Pinchies here, both of them are female and really loves to play around. They're fun to be with and loves cuddles when they got familiar with you. They can be quite loyal too under proper training :) Anyone who's interested please do contact me through whatsapp :)",2,1
4505,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,"This black beauty was rescued from an empty house together with her 5 other siblings. We are now looking for a genuine animal lover to open their home for them. Here is our adoption requirement : a) Abby must be spayed when she reached her maturity b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) e) Walk her regularly with plenty of exercise f) Provide progress update and add us on facebook g) This is a non-transferrable case. If you wish to surrender Abby, please seek our permission as the dog's well-being is our utmost priority If you are interested, drop us a note below and pm us your contact number.",1,3
5363,Cat,8,Siamese,Female,Brown,Gray,Medium,Medium,Not Sure,No,Healthy,0,"cute little Siamese mix cat, very very manja, likes to play and likes attention. likes to sleep on the bed with the owner.. i cant take care of the cat anymore because im starting collage soon and i feel bad leaving her alone.. i will also provide the cage and 1/2 bag of food :)",1,4
4521,Dog,12,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,"Spike is a loving boy that is looking for a loving home to call his own. He is playful and independent, also loves to eat! please give me a call if you can adopt this darling boy.",3,4
6800,Cat,21,Calico,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,"Calico is the kitten to one of my older cats who has passed away. I've had her since she was born. Calico is pretty, shy and affectionate. She loves being petted on the head!",2,4
7939,Dog,3,Mixed Breed,Female,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,"Kimmy is a very lovable and affectionate girl. She likes to lick faces and love to be close to humans. She was rescued together with her brother, Jackie.",4,3
1125,Cat,14,Domestic Long Hair,Female,Black,Yellow,Large,Long,Yes,Yes,Healthy,0,"Hi, I'm looking for responsible new owner for my girl as i no longer able to look after her i'll be moving to over sea and need someone to adopt her ASAP Email me at",2,4
